timestamp,date,open,high,low,close,volume
1769739600000,2026-01-30T02:20:00.000Z,81785.01,81833.87,81400,81459.71,392.66888
1769739900000,2026-01-30T02:25:00.000Z,81459.7,81600,81225.01,81465.36,384.30386
1769740200000,2026-01-30T02:30:00.000Z,81465.37,81658.82,81154,81620.24,513.16985
1769740500000,2026-01-30T02:35:00.000Z,81620.23,81908.97,81582.49,81865.1,438.36486
1769740800000,2026-01-30T02:40:00.000Z,81865.1,82117.27,81853.8,81984.95,311.02314
1769741100000,2026-01-30T02:45:00.000Z,81984.95,82106.67,81982.76,82016.15,304.96629
1769741400000,2026-01-30T02:50:00.000Z,82016.16,82065.37,81886.72,82025.2,190.8276
1769741700000,2026-01-30T02:55:00.000Z,82025.21,82169.3,82000,82164.88,124.01366
1769742000000,2026-01-30T03:00:00.000Z,82164.88,82227.89,82036.35,82061.77,218.95061
1769742300000,2026-01-30T03:05:00.000Z,82061.76,82219.67,82061.76,82171.81,222.15622
1769742600000,2026-01-30T03:10:00.000Z,82171.82,82418.24,82161.43,82387.37,208.43052
1769742900000,2026-01-30T03:15:00.000Z,82387.36,82425.28,82265.97,82380,104.48665
1769743200000,2026-01-30T03:20:00.000Z,82380,82390,82222.65,82318.27,80.51936
1769743500000,2026-01-30T03:25:00.000Z,82318.26,82390.83,82269.61,82355.67,71.48253
1769743800000,2026-01-30T03:30:00.000Z,82355.67,82460.61,82355.66,82448.64,59.46675
1769744100000,2026-01-30T03:35:00.000Z,82448.63,82533.4,82436.1,82533.4,89.64559
1769744400000,2026-01-30T03:40:00.000Z,82533.4,82533.4,82460.04,82498.04,105.51431
1769744700000,2026-01-30T03:45:00.000Z,82498.04,82544.3,82437.3,82506.62,84.18046
1769745000000,2026-01-30T03:50:00.000Z,82506.61,82637.52,82506.61,82615.98,114.89074
1769745300000,2026-01-30T03:55:00.000Z,82615.98,82738.89,82615.98,82676.43,110.94541
1769745600000,2026-01-30T04:00:00.000Z,82676.42,82831.39,82676.42,82805.26,96.54075
1769745900000,2026-01-30T04:05:00.000Z,82805.26,82870.79,82781.69,82852.27,77.81445
1769746200000,2026-01-30T04:10:00.000Z,82852.27,83034.37,82852.27,83030.61,115.52043
1769746500000,2026-01-30T04:15:00.000Z,83030.62,83168.09,82950.62,83168.09,174.07552
1769746800000,2026-01-30T04:20:00.000Z,83168.08,83332.2,83113.98,83146.26,197.37218
1769747100000,2026-01-30T04:25:00.000Z,83146.25,83146.26,82994.52,83043.35,129.24164
1769747400000,2026-01-30T04:30:00.000Z,83043.35,83160.19,83008.01,83160.19,67.55954
1769747700000,2026-01-30T04:35:00.000Z,83160.18,83200,82910,82910,115.72717
1769748000000,2026-01-30T04:40:00.000Z,82910,82961.75,82900.01,82917.47,40.8152
1769748300000,2026-01-30T04:45:00.000Z,82917.46,82981.87,82916.61,82971.48,50.84308
1769748600000,2026-01-30T04:50:00.000Z,82971.49,83000,82916.61,82987.16,31.42673
1769748900000,2026-01-30T04:55:00.000Z,82987.16,82996.06,82884,82938.92,50.44118
1769749200000,2026-01-30T05:00:00.000Z,82938.92,83025.98,82908.54,82982.58,44.3604
1769749500000,2026-01-30T05:05:00.000Z,82982.57,83055.22,82917.31,83009.54,37.18433
